"id","login_id","updated","active","sn","from_","to_","day","collection","delivery","sit_in","waiting_collection","waiting_delivery"
"1","7","0000-00-00 00:00:00","1","1","1020","1380","Mon","Y","Y","Y","15","45"
"2","7","0000-00-00 00:00:00","1","2","1020","1380","Tue","Y","Y","Y","15","45"
"3","7","0000-00-00 00:00:00","1","3","1020","1380","Wed","Y","Y","Y","15","45"
"4","7","0000-00-00 00:00:00","1","4","1020","1380","Thu","Y","Y","Y","15","45"
"5","7","0000-00-00 00:00:00","1","5","1020","1380","Fri","Y","Y","Y","15","45"
"6","7","0000-00-00 00:00:00","1","6","1020","1380","Sat","Y","Y","Y","15","45"
"7","7","0000-00-00 00:00:00","1","7","1020","1380","Sun","Y","Y","Y","15","45"
"8","1","0000-00-00 00:00:00","1","8","0","0","Mon","N","N","N","15","45"
"9","1","0000-00-00 00:00:00","1","9","0","0","Tue","N","N","N","15","45"
"10","1","0000-00-00 00:00:00","1","10","0","0","Wed","N","N","N","15","45"
"11","1","0000-00-00 00:00:00","1","11","0","0","Thu","N","N","N","15","45"
"12","1","0000-00-00 00:00:00","1","12","0","0","Fri","N","N","N","15","45"
"13","1","0000-00-00 00:00:00","1","13","0","0","Sat","N","N","N","15","45"
"14","1","0000-00-00 00:00:00","1","14","0","0","Sun","N","N","N","15","45"
