2014-07-13, 05:57:17, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 05:57:20, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 05:57:24, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 05:57:30, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 05:57:39, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 05:58:12, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 05:58:33, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 51, 
2014-07-13, 05:59:44, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 06:00:14, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 51, 
2014-07-13, 11:35:06, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 51, 
2014-07-13, 11:35:43, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 12:01:41, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 12:01:44, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 15:00:08, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 15:00:31, AAA1786, 127.0.0.1, 1405250100 Requested Time :: Sun 13 Jul 2014 12:07:00 Can not be earlier then :: Sun 13 Jul 2014 15:07:30, takeaway.php, 51, 
2014-07-13, 15:00:46, AAA1786, 127.0.0.1, 1405256400 Requested Time :: Sun 13 Jul 2014 14:07:00 Can not be earlier then :: Sun 13 Jul 2014 15:07:45, takeaway.php, 51, 
2014-07-13, 15:01:19, AAA1786, 127.0.0.1, 1405250100 Requested Time :: Sun 13 Jul 2014 12:07:00 Can not be earlier then :: Sun 13 Jul 2014 15:07:18, takeaway.php, 51, 
2014-07-13, 15:01:59, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-13, 15:02:21, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
2014-07-13, 15:03:09, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
2014-07-13, 15:04:36, AAA1786, 127.0.0.1, Invalid Email Entered :: amjadfof@gmail<br />, takeaway.php, 51, 
2014-07-13, 15:04:53, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
2014-07-13, 15:15:09, AAA1786, 127.0.0.1, 1405250100 Requested Time :: Sun 13 Jul 2014 12:07:00 Can not be earlier then :: Sun 13 Jul 2014 15:07:09, takeaway.php, 51, 
2014-07-13, 15:39:51, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
2014-07-13, 15:40:14, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
