
2014-07-26, 15:10:43, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 15:11:22, AAA1786, 127.0.0.1, all_userdata, takeaway.php, 53, 
2014-07-26, 17:31:09, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 17:31:12, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 17:31:17, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 17:31:17, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 17:31:21, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 17:32:46, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 17:32:50, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 17:32:55, AAA1786, 127.0.0.1, payment_js, takeaway.php, 53, 
2014-07-26, 17:32:55, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 17:32:57, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 17:33:03, AAA1786, 127.0.0.1, payment_js, takeaway.php, 53, 
2014-07-26, 17:33:04, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 17:33:05, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 17:33:09, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:17:21, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:17:25, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:17:29, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:17:30, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:17:33, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:18:13, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:18:15, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:22:34, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:22:37, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:22:37, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:22:39, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:22:42, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:22:43, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:22:46, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:23:22, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:23:24, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:26:13, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:26:15, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:26:15, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:26:17, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:26:20, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:26:21, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:26:23, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:27:18, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:27:19, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:28:21, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:28:37, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:28:37, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:28:39, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:28:43, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
