id,login_id,updated,active,sn,alias,method,module,name,title,title2,title3,image_href,image_src,summary,body,button_href,button
1,515,0000-00-00 00:00:00,1,1,welcome,about/home,special,Special Offers !!,#,#,#,/takeaway/menu,http://allinepos.co.uk/clients/images/AAA1787/early-bird.jpg,#,Our special early bird offer only available 5PM to 8 PM (Mon-Thu),/takeaway/menu,Order Online
2,515,0000-00-00 00:00:00,1,2,welcome,about/home,special,10% Discount,#,#,#,/takeaway/menu,http://allinepos.co.uk/clients/images/AAA1787/10_off.jpg,#,Save 10%<br /> order on collection <br />,/takeaway/menu,View Menu
3,7,0000-00-00 00:00:00,1,3,welcome,about/home,special,Free Delivery,#,#,#,/takeaway/menu,http://allinepos.co.uk/clients/images/AAA1787/Free.jpg,#,Within 3 Mile Radius <br /> Order Over &Pound10<br />,/takeaway/menu,Order Online
4,11,0000-00-00 00:00:00,1,4,welcome,about/home,mid_text,Mid Text,The Indian Ocean’ menu is meticulously designed to suit the needs of every customer.,#,#,#,#,#,#,/takeaway/menu,View Set Meals
5,11,0000-00-00 00:00:00,1,4,welcome,about/main,our_restaurant,,OUR RESTAURANT,#,#,/takeaway/menu,http://allinepos.co.uk/templates/basic01/highlights/set_menal_for_2.jpg,#,Our dishes are freshly prepared in-house with our special 'Indian Ocean recipe'&#44; which excludes all artificial colourings and preservatives. And all our dishes are served steaming hot into a special stay fresh packaging&#44; ready to collect or be delivered to your door step.,/takeaway/menu,View Set Meals
6,11,0000-00-00 00:00:00,1,4,welcome,about/main,our_food,Meal for 2,OUR FOOD,#,#,/takeaway/menu,http://allinepos.co.uk/templates/basic01/highlights/set_menal_for_2.jpg,#,Eating out is more than just food. It is about atmosphere&#44; about ambience&#44; but above all taste!We have installed some of India's history&#44; culture and beliefs into creating the perfect authentic feel for you. If you want to create your own dish&#44; a little hotter&#44; a little creamier? No problem. We allow our customers the option to customize to their suitable needs. Just ask us and we will cook it to order at no extra cost,/takeaway/menu,View Set Meals
7,11,0000-00-00 00:00:00,1,4,welcome,about/main,top_banner,Order Online Now,Delivered Stright To Your Door.,#,#,#,#,#,#,/takeaway/menu,Order Online Now
8,11,0000-00-00 00:00:00,1,4,us,about/us,side,about us side starter,Starter,#,#,/takeaway/menu,/img/highlights/starters.jpg,#,#,/takeaway/menu,Order Online Now
9,11,0000-00-00 00:00:00,1,4,us,about/us,side,about Us&#44; side &#44; Main Dishes,Main Dishes,#,#,/takeaway/menu,/img/highlights/main.jpg,#,#,/takeaway/menu,Order Online Now
10,11,0000-00-00 00:00:00,1,4,us,about/us,side,About Us&#44; Side&#44; Side Orders,Side Orders,#,#,/takeaway/menu,/img/highlights/side.jpg,#,#,/takeaway/menu,Order Online Now
