sku,stock.qty,pick_face_count  
100213, 130,2
100214, 36,2
100217, 116,1
100218, 10,1
100219, 27,1
100220, 20,1
100268, 1,1
101068, 341,1
101069, 163,1
101072, 1660,1
101101, 242,2
101278, 48,
101279, 20,1
101331, 44,1
101629, 4015,1
101822, 523,1
102316, 247,1
102445, 87,
102449, 469,1
102465, 12,1
102469, 2,1
102499, 394,1
102503, 192,1
102509, 287,1
102701, 6,1
102801, 121,1
103006, 148,1
103210, 141,1
103211, 1190,1
103307, 254,1
103370, 0,1
103451, 0,1
103578, 12,
103788, 109,1
103790, 49,2
103828, 10,1
103959, 4,1
103969, 33,
103982, 42,
104474, 19,1
104550, 73,1
104574, 13,1
104578, 6,1
104634, 13,1
104939, 0,1
106027, 138,1
106306, 4,1
106393, 314,2
106402, 8,
106482, 60,1
106517, 156,1
106529, 185,1
106660, 233,1
106787, 0,2
106794, 347,1
106823, 323,1
106953, 930,1
107100, 294,
107592, 21,
108849, 9,1
10894, 33,2
10895, 4,1
108991, 1,1
109067, 19,1
109068, 37,1
109347, 111,1
110733, 180,1
111091, 6,1
111103, 4,1
111206, 210,1
111241, 5061,1
111247, 5,1
111249, 1,1
111250, 6,1
111261, 54,1
111262, 18,1
111263, 11,1
111268, 34,1
111418, 348,2
111424, 239,2
111721, 64,1
111788, 199,1
111794, 97,1
111797, 256,1
111890, 11,1
112287, 1,
11229, 79,2
112407, 93,1
112422, 19,1
112510, 9,1
112787, 15,1
112788, 206,2
112793, 1464,
112836, 18,1
112850, 118,1
112857, 228,1
112859, 252,1
113102, 631,2
113109, 164,2
113110, 13,2
113135, 9,
113150, 112,1
113151, 0,1
113153, 236,1
113155, 343,1
113226, 50,1
113644, 288,1
113646, 102,2
113674, 0,1
113920, 460,2
113921, 1140,2
113994, 0,2
114062, 12,2
114115, 39,1
114261, 862,2
114262, 346,2
114753, 439,1
114802, 7,1
114936, 10,1
114952, 188,2
115071, 2,1
115089, 15,1
115124, 893,1
115247, 26,1
115573, 3,1
115627, 2,1
115645, 12,1
115665, 13,1
115700, 5615,2
115721, 612,1
115797, 7,2
115800, 63,1
115801, 10,
116041, 1490,2
116327, 48,1
118807, 1,1
119521, 54,2
119619, 10,
119682, 84,1
119710, 1983,
119718, 198,
119720, 283,1
119734, 193,2
120418, 440,1
120437, 152,2
120472, 36,1
120895, 5,1
120997, 502,2
121010, 84,1
121093, 6,
121099, 79,1
121106, 16,1
121107, 8,1
121110, 11,1
121159, 1,
121204, 5,
121341, 3,
121535, 15,2
121629, 12,
121907, 0,1
122042, 180,2
122045, 10,1
122055, 3352,2
122056, 3057,1
122057, 3309,2
122060, 3482,2
122223, 12,1
122260, 1008,1
122268, 616,2
122299, 139,1
122310, 14,1
122401, 335,2
122424, 0,2
122466, 919,1
122500, 7,1
122585, 10,
122698, 41,2
122757, 0,1
122761, 30,1
122850, 34,1
122925, 60,1
122926, 8,1
122960, 78,2
122975, 27,1
123046, 11,1
123071, 217,1
123191, 188,2
123638, 5,1
123764, 18,1
123948, 5,
124146, 240,1
124168, 61,2
124179, 12,1
124300, 49,1
124413, 12,
124654, 0,1
124840, 114,1
124881, 49,1
125102, 67,1
125123, 215,1
125466, 636,
125473, 0,2
125687, 223,1
125694, 40,1
125726, 30,1
125742, 0,1
126215, 81,1
126319, 1426,1
126325, 0,2
126331, 115,2
126332, 0,1
126396, 3961,2
126503, 0,1
126515, 11,1
126689, 7,
126690, 5,
126694, 12,
126745, 383,1
126747, 7,
126754, 66,1
127164, 15,1
127168, 443,2
127215, 4685,2
127351, 25,1
127506, 0,2
127603, 104,1
127632, 47,1
127633, 35,
127635, 849,1
127667, 18,1
127678, 115,1
